firm_id,scenario_id,turnover_baseline,turnover_reported,vat_liability,effective_vat_rate,operating_profit_change,registered,static_vat,behavioral_vat,quantity_change,price_change,bunching_adjustment,mode
A2_bicycle_80k,S0,80,80.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A2_bicycle_89k,S0,89,89.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A2_bicycle_91k,S0,91,89.5,0.0,0.0,-0.6000000000000001,False,0.0,0.0,0.0,0.0,1.5,behavioural
A2_bicycle_105k,S0,105,89.5,0.0,0.0,-6.2,False,0.0,0.0,0.0,0.0,15.5,behavioural
A3_cafe_85k,S0,85,85.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A3_cafe_95k,S0,95,90.0,11.52,0.128,-13.27,True,12.16,11.52,-0.0,0.0,5.0,behavioural
A3_cafe_120k,S0,120,120.0,15.36,0.128,-15.36,True,15.36,15.36,-0.0,0.0,0.0,behavioural
A4_contractor_88k,S0,88,88.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A4_contractor_100k,S0,100,90.0,3.1500000000000004,0.035,-5.65,True,3.5,3.1500000000000004,-0.0,0.0,10.0,behavioural
A4_contractor_130k,S0,130,130.0,4.55,0.034999999999999996,-4.55,True,4.55,4.55,-0.0,0.0,0.0,behavioural
A5_accounting_85k,S0,85,85.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A5_accounting_95k,S0,95,92.5,0.0,0.0,-1.5,True,0.0,0.0,-0.0,0.0,2.5,behavioural
A5_accounting_140k,S0,140,140.0,0.0,0.0,0.0,True,0.0,0.0,-0.0,0.0,0.0,behavioural
A1_hairdresser_80k,S1,80,80.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A1_hairdresser_89k,S1,89,89.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A1_hairdresser_91k,S1,91,91.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A1_hairdresser_105k,S1,105,99.5,0.0,0.0,-2.475,False,0.0,0.0,0.0,0.0,5.5,behavioural
A2_bicycle_80k,S1,80,80.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A2_bicycle_89k,S1,89,89.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A2_bicycle_91k,S1,91,91.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A2_bicycle_105k,S1,105,99.5,0.0,0.0,-2.2,False,0.0,0.0,0.0,0.0,5.5,behavioural
A3_cafe_85k,S1,85,85.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A3_cafe_95k,S1,95,95.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A3_cafe_120k,S1,120,100.0,12.8,0.128,-19.8,True,15.36,12.8,-0.0,0.0,20.0,behavioural
A4_contractor_88k,S1,88,88.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A4_contractor_100k,S1,100,100.0,3.5,0.035,-3.5,True,3.5,3.5,-0.0,0.0,0.0,behavioural
A4_contractor_130k,S1,130,130.0,4.55,0.034999999999999996,-4.55,True,4.55,4.55,-0.0,0.0,0.0,behavioural
A5_accounting_85k,S1,85,85.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A5_accounting_95k,S1,95,95.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A5_accounting_140k,S1,140,140.0,0.0,0.0,0.0,True,0.0,0.0,-0.0,0.0,0.0,behavioural
A1_hairdresser_80k,S2,80,80.0,4.48,0.05600000000000001,-4.48,True,4.48,4.48,-0.0,0.0,0.0,behavioural
A1_hairdresser_89k,S2,89,89.0,7.9744,0.0896,-7.9744,True,7.9744,7.9744,-0.0,0.0,0.0,behavioural
A1_hairdresser_91k,S2,91,91.0,8.833066666666667,0.09706666666666668,-8.833066666666667,True,8.833066666666667,8.833066666666667,-0.0,0.0,0.0,behavioural
A1_hairdresser_105k,S2,105,105.0,15.68,0.14933333333333332,-15.68,True,15.68,15.68,-0.0,0.0,0.0,behavioural
A2_bicycle_80k,S2,80,80.0,4.426666666666667,0.05533333333333333,-4.426666666666667,True,4.426666666666667,4.426666666666667,-0.0,0.0,0.0,behavioural
A2_bicycle_89k,S2,89,89.0,7.879466666666667,0.08853333333333334,-7.879466666666667,True,7.879466666666667,7.879466666666667,-0.0,0.0,0.0,behavioural
A2_bicycle_91k,S2,91,91.0,8.727911111111112,0.09591111111111113,-8.727911111111112,True,8.727911111111112,8.727911111111112,-0.0,0.0,0.0,behavioural
A2_bicycle_105k,S2,105,105.0,15.493333333333336,0.14755555555555558,-15.493333333333336,True,15.493333333333336,15.493333333333336,-0.0,0.0,0.0,behavioural
A3_cafe_85k,S2,85,85.0,4.835555555555555,0.05688888888888888,-4.835555555555555,True,4.835555555555555,4.835555555555555,-0.0,0.0,0.0,behavioural
A3_cafe_95k,S2,95,95.0,8.106666666666666,0.08533333333333332,-8.106666666666666,True,8.106666666666666,8.106666666666666,-0.0,0.0,0.0,behavioural
A3_cafe_120k,S2,120,120.0,15.36,0.128,-15.36,True,15.36,15.36,-0.0,0.0,0.0,behavioural
A4_contractor_88k,S2,88,88.0,1.5742222222222224,0.01788888888888889,-1.5742222222222224,True,1.5742222222222224,1.5742222222222224,-0.0,0.0,0.0,behavioural
A4_contractor_100k,S2,100,100.0,2.7222222222222223,0.027222222222222224,-2.7222222222222223,True,2.7222222222222223,2.7222222222222223,-0.0,0.0,0.0,behavioural
A4_contractor_130k,S2,130,130.0,4.55,0.034999999999999996,-4.55,True,4.55,4.55,-0.0,0.0,0.0,behavioural
A5_accounting_85k,S2,85,85.0,0.0,0.0,0.0,True,0.0,0.0,-0.0,0.0,0.0,behavioural
A5_accounting_95k,S2,95,95.0,0.0,0.0,0.0,True,0.0,0.0,-0.0,0.0,0.0,behavioural
A5_accounting_140k,S2,140,140.0,0.0,0.0,0.0,True,0.0,0.0,-0.0,0.0,0.0,behavioural
A1_hairdresser_80k,S3,80,80.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A1_hairdresser_89k,S3,89,89.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A1_hairdresser_91k,S3,91,91.0,0.3397333333333334,0.0037333333333333337,-0.3397333333333334,True,0.3397333333333334,0.3397333333333334,-0.0,0.0,0.0,behavioural
A1_hairdresser_105k,S3,105,105.0,5.88,0.056,-5.88,True,5.88,5.88,-0.0,0.0,0.0,behavioural
A2_bicycle_80k,S3,80,80.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A2_bicycle_89k,S3,89,89.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A2_bicycle_91k,S3,91,91.0,0.3356888888888889,0.003688888888888889,-0.3356888888888889,True,0.3356888888888889,0.3356888888888889,-0.0,0.0,0.0,behavioural
A2_bicycle_105k,S3,105,105.0,5.8100000000000005,0.05533333333333334,-5.8100000000000005,True,5.8100000000000005,5.8100000000000005,-0.0,0.0,0.0,behavioural
A3_cafe_85k,S3,85,85.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,behavioural
A3_cafe_95k,S3,95,95.0,1.3511111111111112,0.014222222222222223,-1.3511111111111112,True,1.3511111111111112,1.3511111111111112,-0.0,0.0,0.0,behavioural
A3_cafe_120k,S3,120,120.0,10.239999999999998,0.08533333333333332,-10.239999999999998,True,10.239999999999998,10.239999999999998,-0.0,0.0,0.0,behavioural
